"State","Speed","Gender","Age"
"Ohio",65,"Male",21
"South Carolina",65,"Male",49
"California",55,"Male",48
"Alabama",65,"Male",19
"North Carolina",40,"Female",17
"North Carolina",55,"Female",35
"New York",0,"Male",23
"Colorado",40,"Female",61
"Florida",0,"Female",41
"Kentucky",7,"Female",39
"California",0,"Male",55
"South Carolina",5,"Female",23
"Florida",40,"Male",60
"Florida",45,"Male",3
"Florida",0,"Male",61
"Arizona",80,"Male",19
"Arizona",68,"Male",30
"California",65,"Female",55
"Wisconsin",55,"Female",76
"South Carolina",35,"Male",39
"California",64,"Female",21
"New York",0,"Male",23
"Florida",30,"Female",46
"Utah",0,"Male",29
"Texas",0,"Male",63
"Kentucky",57,"Female",59
"Georgia",0,"Male",20
"North Carolina",45,"Male",44
"Pennsylvania",55,"Male",56
"Texas",0,"Female",33
"California",65,"Male",18
"Arizona",65,"Male",24
"Florida",10,"Male",59
"Virginia",50,"Female",44
"Maryland",0,"Male",52
"Arkansas",0,"Male",22
"Florida",60,"Male",21
"Arkansas",0,"Male",47
"Florida",55,"Male",21
"Missouri",58,"Female",16
"California",73,"Female",37
"Florida",25,"Male",50
"California",28,"Female",67
"South Carolina",60,"Female",57
"North Dakota",0,"Male",53
"North Carolina",55,"Female",1
"Michigan",0,"Female",65
"Arizona",60,"Male",29
"Wisconsin",0,"Male",85
"North Carolina",25,"Male",24
"Florida",65,"Male",46
"California",68,"Male",23
"Ohio",20,"Female",56
"Florida",70,"Female",35
"Wisconsin",55,"Female",35
"Florida",65,"Male",39
"Arizona",75,"Male",2
"Florida",35,"Male",19
"Kentucky",65,"Male",58
"Wisconsin",60,"Male",46
"Pennsylvania",62,"Male",20
"Alabama",55,"Male",68
"Alabama",65,"Male",21
"Colorado",50,"Male",23
"South Carolina",45,"Male",21
"Hawaii",0,"Female",59
"Louisiana",50,"Male",61
"Ohio",57,"Female",33
"Colorado",51,"Male",31
"Massachusetts",0,"Male",33
"North Carolina",50,"Female",60
"Colorado",5,"Male",32
"Nevada",0,"Male",78
"Arizona",60,"Male",48
"South Carolina",45,"Male",54
"Ohio",40,"Female",16
"Florida",45,"Male",23
"South Carolina",0,"Male",57
"Florida",5,"Male",35
"North Carolina",68,"Male",50
"New York",0,"Male",38
"Wisconsin",50,"Male",84
"North Carolina",55,"Male",16
"Alabama",78,"Male",29
"Florida",45,"Male",41
"California",65,"Male",69
"California",10,"Female",51
"North Carolina",55,"Male",45
"Arizona",32,"Male",31
"Nevada",42,"Female",17
"California",26,"Male",46
"Florida",45,"Female",66
"Texas",0,"Male",27
"Missouri",59,"Male",31
"Louisiana",55,"Female",45
"Florida",35,"Male",45
"California",0,"Male",63
"California",55,"Male",57
"Wisconsin",40,"Male",83
"Pennsylvania",47,"Male",41
"Arizona",34,"Female",63
"Florida",25,"Female",80
"Alabama",70,"Female",67
"Louisiana",86,"Male",37
"California",0,"Male",82
"Virginia",0,"Female",70
"California",25,"Male",65
"Florida",50,"Male",7
"Florida",45,"Male",30
"South Carolina",55,"Male",45
"Florida",89,"Female",27
"Florida",40,"Male",15
"South Carolina",48,"Male",52
"North Carolina",79,"Male",40
"Florida",0,"Male",21
"New York",65,"Female",31
"Florida",70,"Male",42
"Louisiana",45,"Female",27
"North Carolina",40,"Male",51
"South Carolina",70,"Male",28
"Florida",60,"Male",33
"New York",0,"Female",42
"Michigan",0,"Male",30
"North Carolina",55,"Male",54
"Alabama",55,"Female",27
"Florida",40,"Male",40
"North Carolina",90,"Male",18
"Utah",40,"Female",49
"Florida",25,"Female",11
"Alabama",5,"Female",72
"Missouri",67,"Female",39
"South Carolina",50,"Male",68
"South Carolina",30,"Female",62
"California",80,"Male",42
"Illinois",52,"Male",54
"New Mexico",0,"Female",51
"South Carolina",70,"Male",68
"Colorado",75,"Male",16
"Missouri",14,"Male",16
"Ohio",50,"Male",49
"Michigan",0,"Male",57
"Virginia",45,"Male",77
"Ohio",34,"Male",37
"Delaware",0,"Male",42
"California",68,"Male",5
"Minnesota",55,"Male",16
"Virginia",55,"Male",32
"Wisconsin",55,"Male",29
"Virginia",57,"Female",38
"Louisiana",55,"Female",18
"Florida",15,"Male",85
"California",65,"Male",18
"Florida",45,"Female",50
"Ohio",45,"Male",68
"Pennsylvania",65,"Male",41
"Mississippi",0,"Female",50
"Florida",55,"Male",26
"Nevada",50,"Female",34
"Florida",70,"Male",38
"California",55,"Female",27
"California",48,"Male",85
"Florida",60,"Female",21
"North Carolina",100,"Male",19
"Colorado",65,"Male",48
"Louisiana",45,"Male",31
"California",0,"Male",19
"Texas",0,"Male",51
"California",58,"Male",56
"North Carolina",0,"Male",56
